# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-06 17:37:20 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = bern_1.data.json
# init = 2 (Default)
# random
#   seed = 73782
# output
#   file = C:\Users\User\Documents\Data Analytics 2022 Lab\bern_1-20220306183720_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.928024
# Diagonal elements of inverse mass matrix:
# 0.490316
-8.44934,0.879328,0.928024,1,1,0,8.5195,0.515701
-9.4285,0.736572,0.928024,1,1,0,9.55458,0.604077
-8.0781,1,0.928024,1,1,0,9.02377,0.46677
-7.81642,1,0.928024,2,3,0,8.01888,0.417289
-8.35132,0.845906,0.928024,1,1,0,8.35934,0.504143
-7.8849,1,0.928024,1,1,0,8.22947,0.432518
-7.8329,0.836249,0.928024,2,3,0,8.75539,0.421183
-7.72069,0.976059,0.928024,1,3,0,8.00734,0.279749
-8.55472,0.788644,0.928024,1,3,0,8.93088,0.527345
-8.64752,0.630194,0.928024,1,3,0,10.6601,0.165158
-8.64752,0.860478,0.928024,1,1,0,9.47765,0.165158
-7.6405,0.984119,0.928024,1,3,0,8.61823,0.324079
-7.63892,0.882078,0.928024,2,3,0,8.30935,0.328094
-7.64093,0.946356,0.928024,2,3,0,7.92826,0.343497
-10.4253,0.487065,0.928024,1,3,0,10.7188,0.667471
-8.21554,1,0.928024,1,1,0,9.75049,0.486693
-9.124,0.916028,0.928024,2,3,0,9.197,0.580418
-9.124,0.558258,0.928024,1,1,0,10.7219,0.580418
-8.32648,0.779774,0.928024,1,3,0,10.6824,0.190199
-8.02529,1,0.928024,1,1,0,8.29597,0.222422
-8.59332,0.953762,0.928024,2,3,0,8.59332,0.531433
-7.80328,1,0.928024,2,3,0,8.34699,0.41406
-7.86944,0.868649,0.928024,2,3,0,8.51479,0.245851
-8.24579,0.919733,0.928024,1,1,0,8.25063,0.19774
-7.75314,0.946364,0.928024,1,3,0,8.56252,0.400412
-7.74897,1,0.928024,1,1,0,7.784,0.399154
-8.20499,0.939302,0.928024,2,3,0,8.21006,0.20181
-7.74037,0.950491,0.928024,1,3,0,8.48854,0.396493
-7.72259,0.931019,0.928024,2,3,0,8.09687,0.39062
-7.85535,0.960291,0.928024,1,1,0,7.8645,0.426238
-7.70492,0.918124,0.928024,2,3,0,8.29074,0.384158
-7.71696,0.996392,0.928024,1,1,0,7.73436,0.38864
-7.97323,0.924506,0.928024,1,1,0,7.97554,0.44938
-7.72708,1,0.928024,1,1,0,7.90178,0.392157
-7.88031,0.954215,0.928024,1,1,0,7.88909,0.431569
-7.6862,1,0.928024,2,3,0,7.83983,0.292123
-7.84862,0.971215,0.928024,1,3,0,7.84863,0.249629
-7.65729,0.768542,0.928024,2,3,0,9.6007,0.307097
-8.0573,0.933333,0.928024,2,3,0,8.17791,0.463499
-7.82496,1,0.928024,1,1,0,8.01172,0.419327
-7.71215,1,0.928024,2,3,0,7.79883,0.386892
-8.28504,0.914465,0.928024,2,3,0,8.3049,0.193993
-8.0813,1,0.928024,1,1,0,8.3008,0.215446
-8.81457,0.95525,0.928024,2,3,0,8.81699,0.154396
-7.89208,0.989097,0.928024,1,3,0,8.63119,0.24196
-7.71596,0.873837,0.928024,2,3,0,8.80324,0.38828
