# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-06 17:37:20 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = bern_1.data.json
# init = 2 (Default)
# random
#   seed = 73782
# output
#   file = C:\Users\User\Documents\Data Analytics 2022 Lab\bern_1-20220306183720_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.15014
# Diagonal elements of inverse mass matrix:
# 0.350854
-7.95686,0.927548,1.15014,2,3,0,8.11561,0.446435
-7.95686,0.893013,1.15014,1,1,0,8.24002,0.446435
-7.95686,0.915327,1.15014,1,1,0,8.20005,0.446435
-7.76701,1,1.15014,2,3,0,7.91444,0.404433
-8.08535,0.89719,1.15014,1,1,0,8.09991,0.467893
-8.07797,1,1.15014,2,3,0,8.23037,0.466751
-8.20076,0.958263,1.15014,1,1,0,8.33241,0.484675
-7.67177,0.9817,1.15014,2,3,0,8.32597,0.298722
-8.38448,0.846105,1.15014,1,3,0,8.43466,0.185141
-7.82512,1,1.15014,1,1,0,8.24706,0.25416
-7.68664,1,1.15014,2,3,0,7.78741,0.291939
-7.99827,0.936513,1.15014,1,3,0,8.00056,0.226011
-7.757,1,1.15014,1,1,0,7.93947,0.269488
-7.65968,1,1.15014,1,1,0,7.72894,0.30553
-7.64292,0.998036,1.15014,1,3,0,7.66725,0.346687
-7.64292,0.795431,1.15014,1,3,0,8.39952,0.346687
-7.64324,0.938098,1.15014,2,3,0,7.93493,0.347134
-7.66441,0.997046,1.15014,2,3,0,7.66452,0.36496
-7.72903,0.979119,1.15014,1,1,0,7.73143,0.39281
-7.64723,0.995951,1.15014,1,3,0,7.73779,0.315189
-8.02024,0.892557,1.15014,2,3,0,8.27482,0.457464
-7.93658,0.881799,1.15014,2,3,0,8.69246,0.234869
-7.73861,1,1.15014,2,3,0,7.88833,0.274433
-8.14856,0.92501,1.15014,1,3,0,8.14885,0.207766
-7.89076,1,1.15014,1,1,0,8.11039,0.242182
-8.31928,0.902228,1.15014,1,1,0,8.3286,0.190847
-7.78256,0.961835,1.15014,2,3,0,8.69498,0.263271
-7.78256,0.322889,1.15014,1,3,0,11.6019,0.263271
-7.64634,0.988068,1.15014,2,3,0,7.85904,0.3161
-7.64832,0.999403,1.15014,1,1,0,7.65044,0.314137
-7.8677,0.93991,1.15014,1,3,0,7.9239,0.42891
-7.66546,0.990106,1.15014,1,3,0,7.89749,0.302078
-8.9887,0.628143,1.15014,2,3,0,9.96195,0.569002
-10.7387,0.564671,1.15014,1,1,0,10.9887,0.684173
-12.2792,0.647088,1.15014,1,1,0,13.0233,0.751425
-8.92425,1,1.15014,1,1,0,11.3224,0.563336
-7.78835,1,1.15014,2,3,0,9.0369,0.261952
-8.36122,0.902022,1.15014,1,3,0,8.36193,0.187135
-7.88684,1,1.15014,2,3,0,8.22128,0.432919
-8.1364,0.972529,1.15014,2,3,0,8.19043,0.475553
-7.85278,1,1.15014,1,1,0,8.07955,0.425671
-7.64548,0.996623,1.15014,1,3,0,7.83782,0.317021
-7.64548,0.386681,1.15014,1,3,0,10.3744,0.317021
-8.73586,0.806339,1.15014,2,3,0,9.05281,0.15931
-9.48315,0.880707,1.15014,1,1,0,9.56208,0.120853
-7.64218,1,1.15014,2,3,0,9.17836,0.345588
-10.1966,0.496409,1.15014,1,3,0,10.3545,0.654438
-8.68526,1,1.15014,1,1,0,9.8792,0.540828
-7.87819,1,1.15014,2,3,0,8.60267,0.244322
-8.46527,0.838389,1.15014,1,3,0,8.97273,0.517511
-7.6388,0.858088,1.15014,2,3,0,9.18414,0.33816
-7.64764,0.972741,1.15014,2,3,0,7.7673,0.352225
-7.66318,0.995044,1.15014,1,1,0,7.66441,0.3642
-8.15858,0.910564,1.15014,2,3,0,8.24025,0.206678
-7.78441,0.67273,1.15014,2,3,0,11.0476,0.262846
-7.64968,0.991222,1.15014,1,3,0,7.79914,0.354184
